id,invert_label,lat,line,lon,name_en,name_ru,opened
34,0,55.7073885279,2,37.6576090455,Avtozavodskaya,Автозаводская,1943-01-01
35,0,55.6950881,2,37.6641804,Tekhnopark,Технопарк,2015-12-28
36,0,55.6785115205,2,37.6638111449,Kolomenskaya,Коломенская,1969-08-11
37,0,55.6550199031,2,37.6487275731,Kashirskaya,Каширская,1969-08-11
38,0,55.6356911503,2,37.6564615503,Kantemirovskaya,Кантемировская,1984-12-30
39,0,55.6214280537,2,37.6691870786,Tsaritsyno,Царицыно,1984-12-30
40,1,55.613346969,2,37.6945150277,Orekhovo,Орехово,1984-12-30
41,1,55.6107827045,2,37.7186752109,Domodedovskaya,Домодедовская,1985-09-07
42,0,55.6136961294,2,37.7445390852,Krasnogvardeyskaya,Красногвардейская,1985-09-07
43,0,55.632809485,2,37.7661241895,Alma-Atinskaya,Алма-Атинская,2012-12-24
44,1,55.8561124,3,37.3542622,Pyatnitskoye Shosse,Пятницкое шоссе,2012-12-28
45,1,55.8458437306,3,37.3621900435,Mitino,Митино,2009-12-26
46,1,55.8357041799,3,37.3820241026,Volokolamskaya,Волоколамская,2009-12-26
47,1,55.8251283549,3,37.3852990648,Myakinino,Мякинино,2009-12-26
48,1,55.8037278523,3,37.4032171593,Strogino,Строгино,2008-01-07
49,1,55.756887034,3,37.4082545909,Krylatskoye,Крылатское,1989-12-31
50,1,55.7408463765,3,37.4169090922,Molodyozhnaya,Молодёжная,1965-07-05
51,1,55.7307012167,3,37.4459977832,Kuntsevskaya,Кунцевская,2008-01-07
52,0,55.7296546225,3,37.4707518595,Slavyansky Bulvar,Славянский бульвар,2008-09-07
53,0,55.7364360859,3,37.5181527636,Park Pobedy,Парк Победы,2003-05-06
54,0,55.7443426877,3,37.5651453096,Kiyevskaya,Киевская,1953-04-05
55,0,55.7474941584,3,37.5817505496,Smolenskaya,Смоленская,1953-04-05
56,0,55.7522044089,3,37.6070348458,Arbatskaya,Арбатская,1953-04-05
57,0,55.7567676572,3,37.6218698232,Ploshchad Revolyutsii,Площадь Революции,1938-03-13
58,0,55.758086032,3,37.6579594423,Kurskaya,Курская,1938-03-13
59,0,55.773167196,3,37.6805159809,Baumanskaya,Бауманская,1944-01-18
60,0,55.781819285,3,37.7037136281,Elektrozavodskaya,Электрозаводская,1944-05-15
61,0,55.7834201334,3,37.7212537287,Semyonovskaya,Семёновская,1944-01-18
62,0,55.7885999723,3,37.7509691594,Partizanskaya,Партизанская,1944-01-18
63,0,55.7878152807,3,37.7816971894,Izmaylovskaya,Измайловская,1961-10-21
64,0,55.7947362374,3,37.7992970955,Pervomayskaya,Первомайская,1961-10-21
65,0,55.8093341183,3,37.7985373517,Shchyolkovskaya,Щёлковская,1963-07-22
641,0,55.7888305,3,37.7733368,PervomayskayaClosed,Первомайская,1954-09-24
66,0,55.7308185,4,37.4459574,Kuntsevskaya,Кунцевская,1965-08-31
67,1,55.7360538703,4,37.4671391579,Pionerskaya,Пионерская,1961-10-13
68,1,55.7395841083,4,37.4833834744,Filyovsky Park,Филёвский парк,1961-10-13
69,1,55.7438072448,4,37.497802319,Bagrationovskaya,Багратионовская,1961-10-13
70,0,55.7461002,4,37.5148876,Fili,Фили,1959-11-07
71,1,55.7400295,4,37.534383,Kutuzovskaya,Кутузовская,1958-11-07
72,0,55.7388349937,4,37.5483699476,Studencheskaya,Студенческая,1958-11-07
73,0,55.7483636,4,37.5343712,Mezhdunarodnaya,Международная,2006-08-30
74,0,55.7501310904,4,37.5413741265,Vystavochnaya,Выставочная,2005-09-10
75,0,55.7437644752,4,37.5656267847,Kiyevskaya,Киевская,1937-03-20
76,0,55.7488662843,4,37.5827289388,Smolenskaya,Смоленская,1935-05-15
77,1,55.7519284458,4,37.6007723535,Arbatskaya,Арбатская,1935-05-15
78,0,55.7524191,4,37.6085881,Aleksandrovsky Sad,Александровский сад,1935-05-15
79,0,55.7447242579,5,37.5653816788,Kiyevskaya,Киевская,1954-03-14
80,1,55.7608256365,5,37.5770524011,Krasnopresnenskaya,Краснопресненская,1954-03-14
81,0,55.7762195078,5,37.5838991776,Belorusskaya,Белорусская,1952-01-30
82,0,55.7799934699,5,37.6036226324,Novoslobodskaya,Новослободская,1952-01-30
83,0,55.7797320157,5,37.6317550266,Prospekt Mira,Проспект Мира,1952-01-30
84,0,55.7745851939,5,37.6547226917,Komsomolskaya,Комсомольская,1952-01-30
85,0,55.7572196158,5,37.6595267132,Kurskaya,Курская,1950-01-01
86,1,55.7414521177,5,37.6513329237,Taganskaya,Таганская,1950-01-01
87,0,55.7320846592,5,37.6379867925,Paveletskaya,Павелецкая,1950-01-01
